id,title,display_key,org_slug,type_name,stage_name,current_substate,spawn_state,due_date,is_expedited,work_nature,priority
168,Create read replica for analytics workloads,DBCR.63,data-platform,Database Change Request,Submitted,active,active,,false,delivery,
169,Fix dbt model for customer churn metrics,DTSK.64,data-platform,Data Pipeline Task,Inbox,active,active,,false,delivery,
170,Kafka consumer lag on payment events topic,DBUG.65,data-platform,Data Platform Bug,Reported,active,active,,false,delivery,
171,Review: Event-driven architecture for order processing,ARCH.66,enterprise-architecture,Architecture Review,Submitted,active,active,,false,delivery,
172,Review: GraphQL gateway vs. BFF pattern,ARCH.67,enterprise-architecture,Architecture Review,Submitted,active,active,,false,delivery,
173,Assess Temporal.io for long-running workflow orchestration,TECH.68,enterprise-architecture,Technology Assessment,Submitted,active,active,,false,delivery,
174,Exception: Use MongoDB for mobile offline sync cache,STDX.69,enterprise-architecture,Standards Exception,Submitted,active,active,,false,delivery,
175,Dashboard redesign — key metrics visibility,DSGN.70,ux-design,Design Request,Requested,active,active,,false,delivery,
176,Design system dark mode variant,DSGN.71,ux-design,Design Request,Requested,active,active,,false,delivery,
177,Add data table component to design system,DSYS.72,ux-design,Design System Update,Intake,active,active,,false,delivery,
178,WCAG 2.2 audit for checkout flow,A11Y.73,ux-design,Accessibility Audit,Submitted,active,active,,false,delivery,
179,Customer self-service portal — business case review,PROJ.74,pmo,Project Intake,Under Review,active,active,,false,delivery,
180,Legacy system decommission — mainframe migration phase 3,PROJ.75,pmo,Project Intake,Submitted,active,active,,false,delivery,
181,Size: Real-time fraud detection pipeline,PSIZE.76,pmo,Sizing Request,Submitted,active,active,,false,delivery,
182,Q1 portfolio health report,RPT.77,pmo,Status Report,Inbox,active,active,,false,delivery,
183,Install IntelliJ Ultimate license — new developer,ITSR.78,it-service-desk,IT Service Request,Approved,active,active,,false,delivery,
184,VPN access request for contractor team,ITSR.79,it-service-desk,IT Service Request,Approved,active,active,,false,delivery,
185,SSO login failing intermittently since 9 AM,INC.80,it-service-desk,IT Incident,Reported,active,active,,false,delivery,
186,AWS console access for data platform team,ACC.81,it-service-desk,Access Request,Submitted,active,active,,false,delivery,
187,MacBook Pro M4 — new hire starting March 20,EQUIP.82,it-service-desk,Equipment Request,Submitted,active,active,,false,delivery,
188,Senior Backend Engineer — Payments Team backfill,HIRE.83,people-ops,Headcount Requisition,Submitted,active,active,,false,delivery,
189,UX Researcher — Design Studio growth,HIRE.84,people-ops,Headcount Requisition,Submitted,active,active,,false,delivery,
190,DevOps contractor — 6-month cloud migration support,CNTR.85,people-ops,Contractor Request,Submitted,active,active,,false,delivery,
191,Onboarding checklist for March cohort (8 new hires),PEOP.86,people-ops,People Service Request,Submitted,active,active,,false,delivery,
192,Customer 360 — unified profile across channels,EPIC.87,product-engineering,Product Epic,Intake,active,active,,false,delivery,
193,Real-time order tracking with push notifications,FEAT.88,product-engineering,Product Feature,Intake,active,active,,false,delivery,
194,Feasibility: AI-powered product recommendations,FEAS.89,product-engineering,Feature Feasibility,Submitted,active,active,,false,delivery,
195,Size: Multi-tenant architecture migration,SIZE.90,product-engineering,Sizing Request,Assigned,active,active,,false,delivery,
196,API gateway rate limiting per tenant,PLAT.91,platform-art,Platform Feature,In Development,active,active,,false,delivery,
197,Observability platform — distributed tracing rollout,PEPC.92,platform-art,Platform Epic,Intake,active,active,,false,delivery,
198,Build API rate limiting dashboard,PAY.98,payments,Payment Feature,Intake,active,active,,false,delivery,
199,Update API documentation for v3 changes,ITSK.97,cloud-infra,Infrastructure Task,In Progress,waiting,active,,false,delivery,
200,Configure CDN caching rules for static assets,ITSK.99,cloud-infra,Infrastructure Task,Done,active,done,,false,delivery,
201,Set up database query performance monitoring,MTSK.93,mobile-experience,Mobile Task,In Progress,active,active,,false,delivery,
202,Write runbook for incident response,PTSK.96,payments,Payment Task,Inbox,active,active,,false,delivery,
203,Configure CDN caching rules for static assets,MTSK.94,mobile-experience,Mobile Task,Inbox,active,active,,false,delivery,
204,Add health check endpoint to auth service,PTSK.95,payments,Payment Task,Inbox,active,active,,false,delivery,
205,Add role-based access control matrix,MOB.100,mobile-experience,Mobile Feature,Intake,active,active,,false,delivery,
206,API returns 500 on concurrent status updates,PBUG.102,payments,Payment Bug,Reported,active,active,,false,delivery,
207,Q2 Platform Modernization,EPIC.101,product-engineering,Product Epic,Intake,active,active,,false,delivery,
208,Request cloud cost report for department,EQUIP.104,it-service-desk,Equipment Request,Submitted,active,active,,false,delivery,
209,Kubernetes pods in CrashLoopBackOff — prod,INC.103,it-service-desk,IT Incident,Reported,active,active,,true,delivery,
210,Request VPN access for new contractor,EQUIP.105,it-service-desk,Equipment Request,Manager Review,active,active,,false,delivery,
211,Need database read replica for analytics team,ACC.106,it-service-desk,Access Request,Under Review,active,active,,false,delivery,
212,Review third-party library licenses,PTSK.107,payments,Payment Task,Inbox,active,active,,false,delivery,
213,Configure log aggregation for new service,PTSK.108,payments,Payment Task,Inbox,active,active,,false,delivery,
214,Rotate production database credentials,MTSK.110,mobile-experience,Mobile Task,Done,active,done,,false,delivery,
215,Sorting breaks when column has null values,PBUG.109,payments,Payment Bug,Reported,active,active,,false,delivery,
216,Write runbook for incident response,ITSK.111,cloud-infra,Infrastructure Task,Inbox,active,active,,false,delivery,
217,Rotate production database credentials,ITSK.112,cloud-infra,Infrastructure Task,Inbox,active,active,,false,delivery,
218,Document API endpoint conventions,MTSK.113,mobile-experience,Mobile Task,Done,active,done,,false,delivery,
219,Need Slack channel created for new initiative,ACC.114,it-service-desk,Access Request,Under Review,active,active,,false,delivery,
220,Q2 Platform Modernization,EPIC.116,product-engineering,Product Epic,Intake,active,active,,false,delivery,
221,Need database read replica for analytics team,ACC.117,it-service-desk,Access Request,Approved,active,active,,false,delivery,
222,Add role-based access control matrix,PAY.118,payments,Payment Feature,Intake,active,active,,false,delivery,
223,Build API rate limiting dashboard,MOB.115,mobile-experience,Mobile Feature,Ready,active,active,,false,improvement,
224,Set up staging environment monitoring,MTSK.119,mobile-experience,Mobile Task,Inbox,active,active,,false,delivery,
225,Migrate CI pipeline to GitHub Actions,PTSK.120,payments,Payment Task,Inbox,active,active,,false,delivery,
226,Create load testing scripts for API,PTSK.122,payments,Payment Task,Inbox,active,active,,false,delivery,
227,Memory leak in WebSocket connection handler,PBUG.121,payments,Payment Bug,Reported,active,active,,false,delivery,
228,Set up database query performance monitoring,MTSK.123,mobile-experience,Mobile Task,In Progress,active,active,,false,delivery,
229,Review third-party library licenses,ITSK.124,cloud-infra,Infrastructure Task,Done,active,done,,false,delivery,
230,Configure CDN caching rules for static assets,ITSK.125,cloud-infra,Infrastructure Task,Done,active,done,,false,delivery,
231,Provision test data in staging environment,EQUIP.126,it-service-desk,Equipment Request,Manager Review,active,active,,false,delivery,
232,Request SSL certificate for new subdomain,ACC.127,it-service-desk,Access Request,Under Review,active,active,,false,delivery,
233,Build performance metrics dashboard,MOB.131,mobile-experience,Mobile Feature,Intake,active,active,,false,delivery,
234,Request elevated permissions for deploy pipeline,ITSR.129,it-service-desk,IT Service Request,Submitted,active,active,,false,delivery,
235,Add webhook configuration UI,FEAT.128,product-engineering,Product Feature,Intake,active,active,,false,delivery,
236,Need access to production logs dashboard,EQUIP.130,it-service-desk,Equipment Request,Manager Review,active,active,,false,delivery,
237,Create custom report builder,PAY.132,payments,Payment Feature,Intake,active,active,,false,improvement,
238,Document API endpoint conventions,MTSK.134,mobile-experience,Mobile Task,Done,active,done,,false,delivery,
239,Update Node.js to v22 LTS,MTSK.133,mobile-experience,Mobile Task,Inbox,active,active,,false,delivery,
240,Configure log aggregation for new service,PTSK.135,payments,Payment Task,Inbox,active,active,,false,delivery,
241,Migrate CI pipeline to GitHub Actions,PTSK.136,payments,Payment Task,Done,active,done,,false,delivery,
242,Date picker shows wrong timezone offset,PBUG.137,payments,Payment Bug,Triage,active,active,,false,delivery,
243,Write runbook for incident response,ITSK.139,cloud-infra,Infrastructure Task,Inbox,active,active,,false,delivery,
244,Update SSL certificates for Q2,ITSK.138,cloud-infra,Infrastructure Task,Done,active,done,,false,delivery,
245,API gateway dropping requests intermittently,INC.141,it-service-desk,IT Incident,Reported,active,active,,false,delivery,
246,SSL certificate expired on api.internal,INC.140,it-service-desk,IT Incident,Fix Queue,active,active,,false,delivery,
247,Build API rate limiting dashboard,FEAT.146,product-engineering,Product Feature,Intake,active,active,,false,delivery,
248,Add health check endpoint to auth service,PTSK.143,payments,Payment Task,Done,active,done,,false,delivery,
249,Update SSL certificates for Q2,PTSK.145,payments,Payment Task,Inbox,active,active,,false,delivery,
250,Set up staging environment monitoring,MTSK.148,mobile-experience,Mobile Task,Done,active,done,,false,delivery,
251,Configure CDN caching rules for static assets,ITSK.144,cloud-infra,Infrastructure Task,Done,active,done,,false,delivery,
252,Review third-party library licenses,MTSK.147,mobile-experience,Mobile Task,Done,blocked,done,,false,delivery,
253,Add drag-and-drop file upload,PAY.142,payments,Payment Feature,Intake,active,active,,false,delivery,
254,Provision dev environment for Project Atlas,ACC.149,it-service-desk,Access Request,Submitted,active,active,,false,delivery,
255,Memory leak in WebSocket connection handler,PBUG.150,payments,Payment Bug,Reported,active,active,,false,delivery,
256,Implement search filters for dashboard,MOB.152,mobile-experience,Mobile Feature,Intake,active,active,,false,delivery,
257,Review third-party library licenses,ITSK.151,cloud-infra,Infrastructure Task,Done,blocked,done,,false,delivery,
258,Kubernetes pods in CrashLoopBackOff — prod,INC.153,it-service-desk,IT Incident,Reported,active,active,,true,delivery,
259,Need Slack channel created for new initiative,ITSR.155,it-service-desk,IT Service Request,Submitted,active,active,,false,delivery,
260,CDN cache invalidation not propagating,INC.154,it-service-desk,IT Incident,Triage,active,active,,false,delivery,
261,Write runbook for incident response,PTSK.156,payments,Payment Task,Inbox,active,active,,false,delivery,
262,Document API endpoint conventions,PTSK.157,payments,Payment Task,Done,active,done,,false,delivery,
263,Update Node.js to v22 LTS,MTSK.158,mobile-experience,Mobile Task,Done,active,done,,false,delivery,
264,Review and update security headers,MTSK.159,mobile-experience,Mobile Task,In Progress,active,active,,false,delivery,
265,File upload fails silently for files > 10MB,PBUG.160,payments,Payment Bug,Reported,active,active,,false,delivery,
266,Archive completed project repositories,ITSK.161,cloud-infra,Infrastructure Task,Inbox,active,active,,false,delivery,
267,Set up staging environment monitoring,ITSK.162,cloud-infra,Infrastructure Task,Done,blocked,done,,false,delivery,
268,Customer Self-Service Portal,EPIC.163,product-engineering,Product Epic,Triage,active,active,,false,improvement,
269,Implement data retention policies UI,MOB.164,mobile-experience,Mobile Feature,Intake,active,active,,false,delivery,
270,Create custom report builder,PAY.165,payments,Payment Feature,Intake,active,active,,false,delivery,
271,Request cloud cost report for department,ACC.166,it-service-desk,Access Request,Approved,active,active,,false,delivery,
272,Request license for IntelliJ IDEA Ultimate,ACC.167,it-service-desk,Access Request,Submitted,active,active,,false,delivery,
273,Update SSL certificates for Q2,ITSK.168,cloud-infra,Infrastructure Task,Inbox,active,active,,false,delivery,
274,File storage service returning access denied,INC.169,it-service-desk,IT Incident,Reported,active,active,,true,delivery,
275,Need access to production logs dashboard,ACC.173,it-service-desk,Access Request,Approved,active,active,,false,delivery,
276,Configure CDN caching rules for static assets,MTSK.171,mobile-experience,Mobile Task,In Progress,active,active,,true,delivery,
277,Rotate production database credentials,PTSK.175,payments,Payment Task,Inbox,active,active,,false,delivery,
278,Set up automated dependency updates,PTSK.172,payments,Payment Task,Inbox,active,active,,false,delivery,
279,Configure CDN caching rules for static assets,ITSK.174,cloud-infra,Infrastructure Task,Done,active,done,,false,delivery,
280,Currency formatting wrong for Japanese Yen,PBUG.170,payments,Payment Bug,Triage,active,active,,false,delivery,
281,Migrate CI pipeline to GitHub Actions,MTSK.176,mobile-experience,Mobile Task,Inbox,active,active,,false,delivery,
282,Add webhook configuration UI,MOB.177,mobile-experience,Mobile Feature,Triage,active,active,,false,delivery,
283,Request license for IntelliJ IDEA Ultimate,ACC.179,it-service-desk,Access Request,Approved,active,active,,false,delivery,
284,Implement SSO integration with Okta,PAY.178,payments,Payment Feature,Intake,active,active,,false,delivery,
285,Add role-based access control matrix,FEAT.180,product-engineering,Product Feature,Intake,active,active,,false,delivery,
286,Request VPN access for new contractor,EQUIP.181,it-service-desk,Equipment Request,Manager Review,active,active,,false,delivery,
287,Dashboard widgets overlap on tablet viewport,PBUG.183,payments,Payment Bug,Triage,active,active,,false,delivery,
288,Update SSL certificates for Q2,MTSK.182,mobile-experience,Mobile Task,Inbox,active,active,2026-03-20T00:00:00.000Z,false,delivery,
289,Consolidate duplicate utility functions,MTSK.184,mobile-experience,Mobile Task,Done,active,done,,false,delivery,
290,Configure CDN caching rules for static assets,PTSK.185,payments,Payment Task,Done,active,done,,false,delivery,
291,Configure log aggregation for new service,ITSK.187,cloud-infra,Infrastructure Task,Done,active,done,,false,delivery,
292,Configure log aggregation for new service,PTSK.186,payments,Payment Task,Inbox,active,active,,false,delivery,
293,Review and update security headers,ITSK.188,cloud-infra,Infrastructure Task,Inbox,active,active,,false,delivery,
294,Set up shared mailbox for support team,ITSR.189,it-service-desk,IT Service Request,Approved,active,active,,false,delivery,
295,Request SSL certificate for new subdomain,EQUIP.190,it-service-desk,Equipment Request,Submitted,active,active,,false,delivery,
296,Set up database query performance monitoring,PTSK.191,payments,Payment Task,Done,active,done,,false,delivery,
297,Set up database query performance monitoring,PTSK.192,payments,Payment Task,Done,active,done,,false,delivery,
298,Implement progressive web app support,PAY.194,payments,Payment Feature,Triage,active,active,,false,delivery,
299,Consolidate duplicate utility functions,ITSK.193,cloud-infra,Infrastructure Task,Inbox,active,active,,false,delivery,
300,Update Node.js to v22 LTS,ITSK.195,cloud-infra,Infrastructure Task,Done,active,done,,false,delivery,
301,Implement batch processing for imports,MOB.196,mobile-experience,Mobile Feature,Intake,active,active,,false,improvement,
302,Write runbook for incident response,MTSK.199,mobile-experience,Mobile Task,Done,active,done,,false,delivery,
303,Memory leak in WebSocket connection handler,PBUG.198,payments,Payment Bug,Reported,active,active,,false,delivery,
304,Rotate production database credentials,MTSK.197,mobile-experience,Mobile Task,Done,active,done,,false,delivery,
305,Implement data retention policies UI,FEAS.200,product-engineering,Feature Feasibility,Submitted,active,active,2026-03-18T00:00:00.000Z,false,improvement,
306,Request cloud cost report for department,EQUIP.201,it-service-desk,Equipment Request,Submitted,active,active,,false,delivery,
307,Need access to shared design system Figma,ITSR.202,it-service-desk,IT Service Request,Submitted,active,active,,false,delivery,
308,Archive completed project repositories,MTSK.203,mobile-experience,Mobile Task,Done,blocked,done,,false,delivery,
309,Implement data retention policies UI,PAY.204,payments,Payment Feature,Ready,waiting,active,,true,delivery,
310,Session timeout doesn't redirect to login,PBUG.205,payments,Payment Bug,Fix Queue,active,active,,false,improvement,
311,Request cloud cost report for department,ACC.206,it-service-desk,Access Request,Submitted,active,active,,false,delivery,
312,Set up database query performance monitoring,MTSK.207,mobile-experience,Mobile Task,Inbox,active,active,,false,delivery,
313,Auto-save triggers on read-only fields,PBUG.208,payments,Payment Bug,Reported,active,active,,false,delivery,
314,Create API key management interface,MOB.209,mobile-experience,Mobile Feature,Triage,active,active,,false,delivery,
315,Need database read replica for analytics team,ITSR.210,it-service-desk,IT Service Request,Approved,active,active,,false,delivery,
316,Build user activity timeline view,FEAS.211,product-engineering,Feature Feasibility,Submitted,active,active,,false,delivery,
317,Configure CDN caching rules for static assets,PTSK.212,payments,Payment Task,Inbox,active,active,,false,delivery,
318,Password reset link expires immediately,PBUG.213,payments,Payment Bug,Reported,active,active,,false,delivery,
319,File storage service returning access denied,INC.214,it-service-desk,IT Incident,Deploying,active,active,,false,delivery,
320,Request elevated permissions for deploy pipeline,EQUIP.215,it-service-desk,Equipment Request,Manager Review,active,active,,false,delivery,
321,Create API key management interface,FEAT.216,product-engineering,Product Feature,Triage,active,active,,false,improvement,
322,Add calendar view for scheduled tasks,MOB.217,mobile-experience,Mobile Feature,Triage,active,active,,false,delivery,
323,Kubernetes pods in CrashLoopBackOff — prod,INC.218,it-service-desk,IT Incident,Reported,active,active,,true,delivery,
324,Write runbook for incident response,PTSK.219,payments,Payment Task,Done,active,done,,false,improvement,
325,Consolidate duplicate utility functions,MTSK.220,mobile-experience,Mobile Task,Done,active,done,,false,delivery,
326,Auto-save triggers on read-only fields,PBUG.221,payments,Payment Bug,Reported,active,active,,false,delivery,
327,Request license for IntelliJ IDEA Ultimate,ACC.222,it-service-desk,Access Request,Approved,active,active,,false,delivery,
328,Create integration marketplace page,MOB.224,mobile-experience,Mobile Feature,Triage,active,active,,false,improvement,
329,Implement real-time notification system,PAY.223,payments,Payment Feature,Intake,active,active,,false,delivery,
330,Update API documentation for v3 changes,ITSK.225,cloud-infra,Infrastructure Task,Done,active,done,,false,delivery,
331,Implement automated backup scheduling,FEAS.228,product-engineering,Feature Feasibility,Submitted,active,active,,false,delivery,
332,Set up automated dependency updates,MTSK.226,mobile-experience,Mobile Task,Done,active,done,,false,delivery,
333,Date picker shows wrong timezone offset,PBUG.227,payments,Payment Bug,Triage,active,active,,false,delivery,
334,Update Node.js to v22 LTS,ITSK.229,cloud-infra,Infrastructure Task,Done,active,done,,false,delivery,
335,Need Slack channel created for new initiative,ACC.231,it-service-desk,Access Request,Approved,active,active,,false,delivery,
336,Need admin access to Confluence space,EQUIP.230,it-service-desk,Equipment Request,Submitted,active,active,,false,delivery,
337,Login page crashes on Safari 17,PBUG.232,payments,Payment Bug,Reported,active,active,,false,delivery,
338,Rotate production database credentials,MTSK.233,mobile-experience,Mobile Task,Done,active,done,,false,delivery,
339,Memory leak in WebSocket connection handler,PBUG.235,payments,Payment Bug,Reported,active,active,,false,delivery,
340,Request license for IntelliJ IDEA Ultimate,ITSR.234,it-service-desk,IT Service Request,Submitted,active,active,,false,delivery,
341,Enterprise SSO Rollout,EPIC.236,product-engineering,Product Epic,Triage,active,active,2026-03-20T00:00:00.000Z,false,delivery,
342,Request license for IntelliJ IDEA Ultimate,ACC.237,it-service-desk,Access Request,Approved,active,active,,false,delivery,
343,Database replication lag exceeding 30s,INC.238,it-service-desk,IT Incident,Fix Queue,active,active,,true,delivery,
344,Set up staging environment monitoring,PTSK.239,payments,Payment Task,Done,active,done,,false,delivery,
345,Login page crashes on Safari 17,PBUG.240,payments,Payment Bug,Reported,active,active,2026-03-16T00:00:00.000Z,false,delivery,
346,Request elevated permissions for deploy pipeline,ITSR.241,it-service-desk,IT Service Request,Approved,active,active,,false,delivery,
347,Redesign onboarding flow for new users,MOB.242,mobile-experience,Mobile Feature,Triage,active,active,,false,delivery,
348,Memory leak in WebSocket connection handler,PBUG.243,payments,Payment Bug,Reported,active,active,,false,delivery,
349,Configure CDN caching rules for static assets,MTSK.244,mobile-experience,Mobile Task,Done,active,done,,false,delivery,
350,Q2 Platform Modernization,EPIC.245,product-engineering,Product Epic,Intake,active,active,2026-03-19T00:00:00.000Z,false,improvement,
351,Email delivery queue backed up 2+ hours,INC.246,it-service-desk,IT Incident,In Fix,waiting,active,,true,delivery,
352,Login page crashes on Safari 17,PBUG.247,payments,Payment Bug,Fix Queue,active,active,,false,delivery,
353,Add bulk export to CSV for reports,MOB.248,mobile-experience,Mobile Feature,Triage,active,active,,false,delivery,
354,Implement batch processing for imports,PAY.249,payments,Payment Feature,Ready,waiting,active,,false,delivery,
355,Webhook retry count never resets after success,PBUG.250,payments,Payment Bug,Reported,active,active,,false,delivery,
356,Add drag-and-drop file upload,PAY.251,payments,Payment Feature,Intake,active,active,,false,delivery,
357,Need access to production logs dashboard,ITSR.252,it-service-desk,IT Service Request,Approved,active,active,,false,delivery,
358,Request cloud cost report for department,ITSR.253,it-service-desk,IT Service Request,Under Review,active,active,,false,delivery,
359,API returns 500 on concurrent status updates,PBUG.255,payments,Payment Bug,Reported,active,active,,false,delivery,
360,Set up automated dependency updates,MTSK.254,mobile-experience,Mobile Task,Done,active,done,,false,delivery,
361,Set up monitoring alerts for payment service,ITSR.256,it-service-desk,IT Service Request,Fulfilling,waiting,active,,false,delivery,
362,Need database read replica for analytics team,ITSR.257,it-service-desk,IT Service Request,Approved,active,active,,false,delivery,
363,Session timeout doesn't redirect to login,PBUG.258,payments,Payment Bug,Triage,active,active,,false,delivery,
364,Implement real-time notification system,FEAT.259,product-engineering,Product Feature,Triage,active,active,,false,delivery,
365,Need access to shared design system Figma,ITSR.260,it-service-desk,IT Service Request,Submitted,active,active,,false,delivery,
366,Payment processing latency spike — P1,INC.261,it-service-desk,IT Incident,Reported,active,active,,true,delivery,
367,Update Node.js to v22 LTS,ITSK.262,cloud-infra,Infrastructure Task,Done,active,done,,false,delivery,
368,Update Node.js to v22 LTS,PTSK.263,payments,Payment Task,Inbox,active,active,,false,delivery,
369,Memory leak in WebSocket connection handler,PBUG.264,payments,Payment Bug,Reported,active,active,,false,delivery,
